,Unnamed: 0,composition,mp-id,target
738,738,Ge(TeSe2)3,,13.160000000000002
739,739,InGe4(TeSe2)15,,40.45
740,740,In2Ge3(TeSe2)15,,72.41
741,741,In3Ge2(TeSe2)15,,104.44
742,742,NbP13,,410.0
743,743,NbP27,,980.0
746,746,BaTi2,,251.0
747,747,Zr0.44Ti0.56Pb1O3,,1200.0
748,748,BaCaTiO3,,84.55000000000001
749,749,S13N17,,167.0
750,750,CaTi4(BiO3)4,,150.0
751,751,GaPO4,mp-677335.cif,5.35
752,752,MgTi2O5,mp-1173863.cif,17.661538461538463
753,753,MgTi2O4,mvc-9736.cif,14.0
754,754,BaTe4O9,mp-1195016.cif,19.72
757,757,Ba0.8Ti1Pb0.2O3,,265.0
758,758,Sr1Ta1.8V0.2Bi2O9,,454.0
760,760,Nb1.48Co0.96Bi1.56O7,,1250.0
764,764,CsP(HO2)2,mp-1188121.cif,230.0
766,766,CuSe,mp-580226.cif,4.26
767,767,Sr2PrTa3Ti2O15,,161.0
769,769,Mn2NiO4,mp-29399.cif,53.333333333333336
770,770,Ca5V6Co3.95O24,,10.14
772,772,Ge3N4,87767.cif,5.5
774,774,Ba0.7Sr0.3Zr0.1Ti0.9O3,,1549.65
776,776,AlFeSi,,35.0
777,777,Tm2O3,mp-13067.cif,20.6
780,780,Ca5Ta2TiO12,,38.0
781,781,H11C5,,2.2
782,782,Ba1Ti1.02O3,,420.0
783,783,PIN,,3.106
785,785,BeO,62732.cif,5.94923076923077
786,786,YAlO,,11.0
789,789,GdTiO3,mp-510278.cif,15.0
790,790,Er2TiO5,mp-755595.cif,14.6
793,793,Li1Nb1Zn0.98Co0.02O4,,14.85
794,794,LiNbZnO4,mp-18037.cif,14.733333333333334
795,795,BNF,,30.0
796,796,Tb2(MoO4)3,mp-3114.cif,162.3
798,798,Sr0.276Pb0.724Se1,,12.94
799,799,Sr0.171Pb0.829Se1,,13.91
800,800,TiTe3O8,mp-5214.cif,46.8
802,802,B4H3N5,,78.4
804,804,P2S,mp-1220021.cif,3.47
806,806,Cu(BiO2)2,mp-1232323.cif,90.0
810,810,Sb2O3,mp-560607.cif,12.8
811,811,Li0.35Gd0.1Zn0.3Fe2.25O4,,118.0
812,812,Mg1Zr1Nb1.84Sb0.16O8,,25.69
813,813,Mg1Zr1Ta0.2Nb1.8O8,,23.16
814,814,Li3Mg2Nb0.98V0.02O6,,16.0
815,815,PH3O4,mp-626450.cif,49.0
816,816,ZnP2,mp-2782.cif,200.0
820,820,NbBiO4,mp-555100.cif,42.92857142857143
821,821,ZrTa2NiO8,,20.995
822,822,AlF3,mp-555026.cif,2.309090909090909
823,823,La1Ta0.08Nb0.92O4,,19.23
824,824,Ca3Nb2O8,,50.0
825,825,HClO,,351.0
827,827,Zn(RhO2)2,mp-5146.cif,4.262
830,830,HAuS,,78.3
831,831,Cu2S,166578.cif,16.0
832,832,BPN,,3.6
833,833,K2Cu2GeS4,,4.35
834,834,Er2Ti2O7,mp-5889.cif,61.0
835,835,YBCO,,26.5
839,839,LaYbO3,mp-1189511.cif,40.0
841,841,Li2Ti3Zn0.9Cu0.1O8,,25.2
842,842,TiZnO3,mp-1078470.cif,21.25
843,843,CuPC,,13.1
844,844,FeCl3,mp-676241.cif,237.0
845,845,Sr4Fe6O13,mp-505440.cif,7.3
850,850,Ta2NiO6,mp-32308.cif,25.0
856,856,Ca0.66V0.34Bi0.34Mo0.66O4,,21.9
857,857,BaO2,mp-1182259.cif,10.5
858,858,InCuS2,628051.cif,10.316666666666668
861,861,Eu2MnNiO6,,102.0
863,863,Nd2Sn2O7,mp-17114.cif,16.983333333333334
864,864,Nd1Mg0.4Zn0.1Sn0.5O3,,19.5
