composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li0.6 Al0.8 I0.6 O1.2,3.94E-05,-4.404503778,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li0.7 Al0.6 I0.7 O0.9,2.07E-05,-4.684029655,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1 Si0.3 S0.95 Br0.3,0.00032,-3.494850022,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1 Si0.4 S1.2 Br0.2,0.00021,-3.677780705,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1.05 B0.52 S1.09 I0.43,0.000799,-3.097453221,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1.8 Si0.8 S2.4 Cl0.2,0.000235,-3.628932138,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li6.2Si0.2Sb0.8S5I ,8.80E-05,-4.055517328,0.33,,25,10.1021/jacs.9b08357
Li1 Ti1 P3 O12,6.00E-05,-4.22184875,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1.05 Ti0.95 Cr0.05 P3 O12,0.00018,-3.744727495,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Ti1.5 Ge0.5 P3 O12,0.00019,-3.721246399,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li0.16 La0.6 Ti1 O3.01,0.00063,-3.200659451,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li0.2 La0.466 Ti0.8 Al0.2 O3,4.28E-05,-4.368556231,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li0.3 La0.366 Ti0.7 Al0.3 O3,1.72E-05,-4.764471553,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li0.36 La0.55 Ti1 O3,0.00154,-2.812479279,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Si0.4 S1.4,0.00051,-3.292429824,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Si0.4 S1.4,0.00053,-3.27572413,0.33,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Si0.35 S0.7,0.000741,-3.130181792,0.33,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)HfCl4,0.00093,-3.031517051,0.331,,25,https://doi.org/10.1038/s41467-023-39197-8
(Li2O)1.4HfCl4,0.0018,-2.744727495,0.331,,25,https://doi.org/10.1038/s41467-023-39197-8
Li7 La3 Zr1.89 Al0.15 O12,0.00034,-3.468521083,0.334,,25,https://doi.org/10.1039/D2EE03499A
Li2.6 Zr0.4 Lu0.6 Cl6,1.80E-03,-2.744727495,0.34,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li1 Si0.27 P0.06 S0.99 I0.4,0.0012,-2.920818754,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li1.24 Si0.14 P0.18 S1.2 I0.3,0.0021,-2.677780705,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li1.72 Si0.66 S1.98 Cl0.4,9.30E-05,-4.031517051,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li1.9 Si0.9 S2.7 Cl0.1,0.000184,-3.735182177,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li120 Si28 P24 S176,0.00123,-2.910094889,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Si0.5 S1 N0.5,4.47E-05,-4.349692477,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li6.6 La3 Zr1.6 Sb0.4 O12,0.00077,-3.113509275,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li1.05 Ti0.95 Fe0.05 P3 O12,0.00013,-3.886056648,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li1.1 Ti0.9 Fe0.1 P3 O12,0.00063,-3.200659451,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li0.26 La0.57 Ti1 O2.99,0.001,-3,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li1.26 Ge0.37 S1.37,0.00015,-3.823908741,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 Ge0.3 S1.3,0.00012,-3.920818754,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li2 Si1 S3,0.00015,-3.823908741,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Si0.5 P0.5 S4,0.000161,-3.793174124,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Si0.5 P5 S4,0.000166,-3.779891912,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li3.6 Ge0.6 P0.4 S4,0.000175,-3.756961951,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li3.6 Si0.6 P0.4 S4,7.11E-05,-4.148130399,0.34,,25,https://doi.org/10.1039/D2EE03499A
Li2.25 Fe0.25 Zr0.75 Cl6,1.00E-03,-3,0.345,,30,10.1002/aenm.202003190
Li2.633 Er0.633 Zr0.367 Cl6,0.0011,-2.958607315,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li2.2 Yb0.2 Zr0.8 Cl6,4.00E-04,-3.397940009,0.35,,30,https://doi.org/10.1021/acsmaterialslett.1c00142
Li2.4 Yb0.4 Hf0.6 Cl6,1.40E-03,-2.853871964,0.35,,30,https://doi.org/10.1016/j.cej.2021.130630
Li2.6 Zr0.4 Ho0.6 Cl6,1.80E-03,-2.744727495,0.35,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li1.05 B0.54 S1.13 I0.41,0.000425,-3.37161107,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li1.204 B0.396 S0.996 I0.4,0.000489,-3.310691141,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li1.7 Si0.7 S2.1 Cl0.3,0.000233,-3.632644079,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li1.75 Si0.75 S2.25 Cl0.25,0.000266,-3.575118363,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.9 B0.2 S6.65 O0.45,0.000411,-3.386158178,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li6.1Ge0.1Sb0.9S5I ,1.60E-04,-3.795880017,0.35,,25,10.1021/jacs.9b08357
Li5.72 La3 Zr1.5 Al0.26 W0.25 O12,0.00049,-3.30980392,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li6.4 La3 Zr1.4 Ta0.6 O12,0.001,-3,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li7 Ca0.25 La2.75 Zr1.75 Nb0.25 O12,0.00022,-3.657577319,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li0.25 La0.416 Ti0.75 Al0.25 O3,7.66E-05,-4.11577123,0.35,,25,https://doi.org/10.1039/D2EE03499A
Sr0.25 Li0.25 La0.41 Ti1 O3,7.64E-05,-4.116906641,0.35,,25,10.1021/cm020609u
Sr0.3 Li0.3 La0.36 Ti1 O3,1.92E-05,-4.716698771,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li0.1 La0.566 Ti0.9 Al0.1 O3,7.34E-06,-5.13430394,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li0.8 Al0.4 I0.8 O0.6,6.84E-06,-5.164943898,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li3.855 Sn0.855 As0.145 S4,0.000131,-3.882728704,0.35,,25,https://doi.org/10.1039/D2EE03499A
Li3.82 Sn0.82 As0.18 S4,0.000283,-3.548213564,0.35,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)0.8HfCl4,0.00028,-3.552841969,0.354,,25,https://doi.org/10.1038/s41467-023-39197-8
Li2.8 Zr0.2 Ho0.8 Cl6,1.60E-03,-2.795880017,0.36,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li2.4 Zr0.6 Ho0.4 Cl6,1.55E-03,-2.809668302,0.36,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li6 Ge0.15 P0.85 S5 I1,3.99E-05,-4.399027104,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li6 Ge0.25 P0.75 S5 I1,3.26E-05,-4.4867824,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li0.8428 B0.1972 S0.5372 I0.36,0.00081,-3.091514981,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li0.9 Si0.7 S1.4 N0.3,2.97E-05,-4.527243551,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li1.65 Si0.65 S1.95 Cl0.35,0.000178,-3.749579998,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li6.3 As0.7 Sn0.3 S5 I1,2.00E-04,-3.698970004,0.36,,25,https://doi.org/10.1038/s41467-023-39686-w
Li6.4 La3 Zr1.4 Sb0.6 O12,0.00066,-3.180456064,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li0.06 La0.606 Ti0.94 Al0.06 O3,1.68E-06,-5.774690718,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li0.067 La0.64 Ti1 O3,7.90E-05,-4.102372909,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li0.15 La0.516 Ti0.85 Al0.15 O3,9.66E-06,-5.015022874,0.36,,25,https://doi.org/10.1039/D2EE03499A
Sr0.4375 Li0.375 Hf0.25 Ta0.75 O3,0.00038,-3.420216403,0.36,,25,https://doi.org/10.1039/D2EE03499A
Sr0.625 Li0.25 Zr0.5 Nb0.5 O3,2.75E-07,-6.560667306,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 B0.5 S1.5,0.000303,-3.518557371,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li3.3 Si0.3 P0.7 S4,1.02E-05,-4.991399828,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.5 B1 S7.5,0.000502,-3.299296283,0.36,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Sc1 Cl6.5,2.30E-03,-2.638272164,0.362,,25,https://doi.org/10.1021/jacs.0c00134
Li2.1 Fe0.1 Zr0.9 Cl6,7.00E-04,-3.15490196,0.363,,30,10.1002/aenm.202003190
Li2.3 Fe0.3 Zr0.7 Cl6,8.70E-04,-3.060480747,0.365,,30,10.1002/aenm.202003190
Li3 Er1 I6,9.92E-05,-4.003488328,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li2.5 Sc1 Cl5.5,2.50E-03,-2.602059991,0.37,,25,https://doi.org/10.1021/jacs.0c00134
Li2.8 Zr0.2 Lu0.8 Cl6,1.30E-03,-2.886056648,0.37,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li6.2 La3 Zr1.2 Sb0.8 O12,0.00045,-3.346787486,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li6.7 La3 Zr1.7 Ta0.3 O12,0.00096,-3.017728767,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Al0.3 Ge1.7 P3 O12,0.000142,-3.847711656,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li1.6 Al0.6 Ge1.4 P3 O12,0.000394,-3.404503778,0.37,,25,https://doi.org/10.1039/D2EE03499A
Sr0.06 Li0.06 La0.6 Ti1 O3,1.13E-05,-4.946921557,0.37,,25,https://doi.org/10.1039/D2EE03499A
Sr0.1 Li0.1 La0.56 Ti1 O3,1.37E-05,-4.863279433,0.37,,25,https://doi.org/10.1039/D2EE03499A
Sr0.275 Li0.275 La0.385 Ti1 O3,6.04E-05,-4.218963061,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li0.4 Al1.2 I0.4 O1.8,6.76E-06,-5.170053304,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li3.8 Si0.8 P0.2 S4,8.11E-07,-6.090979146,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li1.32 Ge0.34 S1.34,0.0001,-4,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li3.2 Si0.2 P0.8 S4,3.20E-06,-5.494850022,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.75 B0.5 S7.25,0.00044,-3.356547324,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si2 S7,0.000411,-3.386158178,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.9 B0.2 S7.1,0.00049,-3.30980392,0.37,,25,https://doi.org/10.1039/D2EE03499A
Li3Y0.5In0.5Cl6,1.51E-03,-2.821023053,0.373,,25,https://doi.org/10.1021/acs.nanolett.0c01156
Li2.2 Zr0.8 Ho0.2 Cl6,7.80E-04,-3.107905397,0.38,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li2.2 Zr0.8 Lu0.2 Cl6,8.00E-04,-3.096910013,0.38,,25,https://doi.org/10.1021/acsenergylett.3c00763
Li1.01 Si0.33 S0.99 Br0.35,0.00023,-3.638272164,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li6.5 La3 Zr1.75 Te0.25 O12,0.00102,-2.991399828,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li6.6 La3 Zr1.6 Ta0.4 O12,0.000313,-3.504455662,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ga0.3 Ge1.7 P3 O12,4.47E-05,-4.349692477,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li0.27 La0.57 Ti1 O3,0.00034,-3.468521083,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li0.34 La0.51 Ti1 O2.94,0.001,-3,0.38,,25,https://doi.org/10.1039/D2EE03499A
Sr0.15 Li0.15 La0.51 Ti1 O3,5.30E-05,-4.27572413,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li0.8 Si0.6 S1.6,2.80E-05,-4.552841969,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.8 B0.4 S7.2,0.000473,-3.325138859,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.85 B0.3 S7.15,0.000365,-3.437707136,0.38,,25,https://doi.org/10.1039/D2EE03499A
Li4 Sc1 Cl7,2.00E-03,-2.698970004,0.381,,25,https://doi.org/10.1021/jacs.0c00134
Li2.5 Fe0.5 Zr0.5 Cl6,5.70E-04,-3.244125144,0.382,,30,10.1002/aenm.202003190
Li2 Sc1 Cl5,6.50E-04,-3.187086643,0.385,,25,https://doi.org/10.1021/jacs.0c00134
Li1.5 Sc1 Cl4.5,2.30E-04,-3.638272164,0.387,,25,https://doi.org/10.1021/jacs.0c00134
(Li2O)2.0HfCl4,0.00004,-4.397940009,0.387,,25,https://doi.org/10.1038/s41467-023-39197-8
Li2.9 Yb0.9 Zr0.1 Cl6,6.00E-04,-3.22184875,0.39,,30,https://doi.org/10.1021/acsmaterialslett.1c00142
Li6 Ge0.08 P0.92 S5 I1,9.02E-06,-5.044793462,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.75 B0.5 S6.125 O1.125,0.000277,-3.557520231,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.8 B0.4 S6.3 O0.9,0.000376,-3.424812155,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li6.8 La3 Zr1.8 Sb0.2 O12,5.90E-05,-4.229147988,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Cr0.3 Ge1.7 P3 O12,8.87E-05,-4.05207638,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Fe0.3 Ge1.7 P3 O12,2.99E-05,-4.524328812,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li0.1 La0.63 Mg0.5 W0.5 O3,1.69E-06,-5.772113295,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li3.87 Sn0.87 As0.13 S4,1.48E-05,-4.829738285,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 P0.6 S2.2,0.00158,-2.801342913,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li6 Si1.26 B1.48 S7.74,0.000439,-3.35753548,0.39,,25,https://doi.org/10.1039/D2EE03499A
Li0.22 La0.6 Ti1 O3,0.00048,-3.318758763,0.391,,25,https://doi.org/10.1039/D2EE03499A
Li1 Sc1 Cl4,1.30E-04,-3.886056648,0.395,,25,https://doi.org/10.1021/jacs.0c00134
Ba1.25 Li6.25 La1.75 Ta2 O12,5.05E-05,-4.296708622,0.395,,25,https://doi.org/10.1039/D2EE03499A
(Li2O)2TaCl5,0.000009,-5.045757491,0.396,,25,https://doi.org/10.1038/s41467-023-39197-8
Li6 Si1.5 B1 S5.25 O2.25,0.000142,-3.847711656,0.4,,25,https://doi.org/10.1039/D2EE03499A
Li3.8 Sn0.8 As0.2 S4,0.000106,-3.974694135,0.4,,25,https://doi.org/10.1039/D2EE03499A
Li0.9 Si0.55 S1.1,0.000108,-3.966576245,0.4,,25,https://doi.org/10.1039/D2EE03499A
Li1.334 P0.666 S1.666,0.00011,-3.958607315,0.4,,25,https://doi.org/10.1039/D2EE03499A
Li1.5 P0.5 S2,0.000279,-3.554395797,0.4,,25,https://doi.org/10.1039/D2EE03499A
Ba1.5 Li6.5 La1.5 Ta2 O12,3.20E-05,-4.494850022,0.402,,25,https://doi.org/10.1039/D2EE03499A
Li4 Ge1 Se2 S2,2.49E-05,-4.603800653,0.409087873,,25,Nicolo Minafra
Li6.75 La3 Zr1.875 Te0.125 O12,0.00033,-3.48148606,0.41,,25,https://doi.org/10.1039/D2EE03499A
Li0.33 La0.56 Ti1 O3,0.000165,-3.782516056,0.41,,25,https://doi.org/10.1039/D2EE03499A
Ba1.75 Li6.75 La1.25 Ta2 O12,1.25E-05,-4.903089987,0.418,,25,https://doi.org/10.1039/D2EE03499A
Li1 Si0.3 S0.9 Br0.4,0.00011,-3.958607315,0.42,,25,https://doi.org/10.1039/D2EE03499A
Li6 La3 Zr1 Nb1 O12,0.00015,-3.823908741,0.42,,25,https://doi.org/10.1039/D2EE03499A
Li6 La3 Zr1 Ta1 O12,0.00021,-3.677780705,0.42,,25,https://doi.org/10.1039/D2EE03499A
Sr0.625 Li0.25 Zr0.5 Ta0.5 O3,3.34E-07,-6.476253533,0.42,,25,https://doi.org/10.1039/D2EE03499A
Li0.26 Pr0.58 Ti1 O3,3.87E-06,-5.412289035,0.421,,25,https://doi.org/10.1039/D2EE03499A
Li0.23 Pr0.59 Ti1 O3,3.40E-06,-5.468521083,0.425,,25,https://doi.org/10.1039/D2EE03499A
Li4 Ge1 Se3 S1,1.32E-05,-4.879426069,0.427079606,,25,Nicolo Minafra
Li0.29 Pr0.57 Ti1 O3,2.86E-06,-5.543633967,0.429,,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 I4,2.06E-09,-8.68613278,0.429153439,,25,10.1039/D2TA02821B
Li0.99 Ca0.01 I1.01,5.54E-06,-5.256490235,0.43,,25,https://doi.org/10.1039/D2EE03499A
Li1 I1,2.74E-08,-7.562249437,0.43,,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 Br4,1.71E-09,-8.76700389,0.436931217,,25,10.1039/D2TA02821B
Li0.32 Pr0.56 Ti1 O3,1.91E-06,-5.718966633,0.437,,25,https://doi.org/10.1039/D2EE03499A
Li4 Ge1 Se1 S3,8.12E-06,-5.090443971,0.437454149,,25,Nicolo Minafra
Li2.9 Yb0.9 Hf0.1 Cl6,1.70E-04,-3.769551079,0.44,,30,https://doi.org/10.1016/j.cej.2021.130630
Ba1 Li6 La2 Nb2 O12,6.00E-06,-5.22184875,0.44,,25,https://doi.org/10.1039/D2EE03499A
Li3.6 V0.4 Ge0.6 O4,1.97E-05,-4.705533774,0.44,,25,https://doi.org/10.1039/D2EE03499A
Li1.334 P0.666 S2.332,3.84E-05,-4.415668776,0.44,,25,https://doi.org/10.1039/D2EE03499A
Li0.35 Pr0.55 Ti1 O3,1.51E-06,-5.821023053,0.441,,25,https://doi.org/10.1039/D2EE03499A
Ba2 Li7 La1 Ta2 O12,3.00E-06,-5.522878745,0.442,,25,https://doi.org/10.1039/D2EE03499A
Li0.6 Si0.8 S1.6 N0.2,1.46E-06,-5.835647144,0.45,,25,https://doi.org/10.1039/D2EE03499A
Li0.38 Pr0.54 Ti1 O3,1.18E-06,-5.928117993,0.452,,25,https://doi.org/10.1039/D2EE03499A
Li0.29 La0.57 Ti1 O3,4.40E-05,-4.356547324,0.453,,25,https://doi.org/10.1039/D2EE03499A
Ba0.5 Li5.5 La2.5 Ta2 O12,1.35E-05,-4.869666232,0.455,,25,https://doi.org/10.1039/D2EE03499A
Li6.8 La3 Zr1.9 Mo0.1 O12,8.00E-05,-4.096910013,0.46,,25,https://doi.org/10.1039/D2EE03499A
Li0.41 Pr0.53 Ti1 O3,8.40E-08,-7.075720714,0.462,,25,https://doi.org/10.1039/D2EE03499A
Li3.3 P1 N0.83 O2.9,3.10E-06,-5.508638306,0.47,,25,https://doi.org/10.1039/D2EE03499A
Li0.91 Hf2.022 P3 O12,1.00E-10,-10,0.47,,25,https://doi.org/10.1039/D2EE03499A
Li0.34 Pr0.56 Ti1 O3.01,1.00E-06,-6,0.47,,25,https://doi.org/10.1039/D2EE03499A
Li3.8 Ge0.8 P0.2 S4,1.78E-06,-5.749579998,0.47,,25,https://doi.org/10.1039/D2EE03499A
Li7 P1 S6,6.75E-06,-5.170696227,0.476493889,,25,10.1021/acsaem.1c01417
Ba0.25 Li5.25 La2.75 Ta2 O12,6.03E-06,-5.219682688,0.479,,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Zr1.4 Al0.3 P3 O12,1.91E-06,-5.718966633,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li6.2 La3 Zr1.6 Mo0.4 O12,0.00034,-3.468521083,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li6.6 La2.6 Ce0.4 Zr2 O12,1.44E-05,-4.841637508,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li6.6 La3 Zr1.8 Mo0.2 O12,0.000311,-3.507239611,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li0.86 Hf2.035 P3 O12,9.20E-08,-7.036212173,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Zr1.6 Al0.2 P3 O12,1.90E-06,-5.721246399,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li1.225 Zr1.55 Al0.225 P3 O12,2.13E-06,-5.671620397,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li1.25 Zr1.5 Al0.25 P3 O12,2.06E-06,-5.68613278,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li1.275 Zr1.45 Al0.275 P3 O12,3.05E-06,-5.515700161,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li3.75 Sn0.75 As0.25 S4,3.69E-06,-5.432973634,0.48,,25,https://doi.org/10.1039/D2EE03499A
Li5 H2 Cl3 O2,1.48E-07,-6.829738285,0.49,,25,https://doi.org/10.1039/D2EE03499A
K0.25 Li5.5 La2.75 Nb2 O12,1.06E-05,-4.974694135,0.49,,25,https://doi.org/10.1039/D2EE03499A
Li6.4 La3 Zr1.7 Mo0.3 O12,0.000369,-3.432973634,0.49,,25,https://doi.org/10.1039/D2EE03499A
Li1.8 P1 N1.5 O1.2,1.70E-06,-5.769551079,0.49,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 V0.5 As0.5 O4,4.01E-05,-4.396855627,0.49,,25,https://doi.org/10.1039/D2EE03499A
Li2B12H12(Li2B10H10)5,1.00E-05,-5,0.51,,25,https://doi.org/10.1021/acsaem.3c00411
Li3.5 Ge0.5 As0.5 O4,2.83E-05,-4.548213564,0.51,,25,https://doi.org/10.1039/D2EE03499A
Li1 Ge0.5 S1.5,4.00E-05,-4.397940009,0.51,,25,https://doi.org/10.1039/D2EE03499A
Li3.9 Zn0.05 Ge1 S4,2.72E-07,-6.565431096,0.517,,25,https://doi.org/10.1039/D2EE03499A
Li2 H0.9 Cl1 O0.9 F0.1,3.86E-05,-4.413412695,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li2.9 P1 N0.91 O2.6,2.10E-06,-5.677780705,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li10.8Ba1.85Al3.5O12F,2.80E-08,-7.552841969,0.52,,32,https://doi.org/10.1016/j.ssi.2023.116208
Li0.4 Ge0.8 S1.8,1.10E-07,-6.958607315,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Ti0.5 As0.5 O4,3.22E-05,-4.492144128,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li4.4 Al0.4 Si0.6 S4,3.04E-08,-7.517126416,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li3.2 Al0.8 Si0.2 S4,2.28E-07,-6.642065153,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li3.4 Al0.6 Si0.4 S4,1.45E-08,-7.838631998,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li3.6 Al0.4 Si0.6 S4,3.06E-08,-7.514278574,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li4.8 Al0.8 Si0.2 S4,2.25E-07,-6.647817482,0.52,,25,https://doi.org/10.1039/D2EE03499A
Li0.34 Nd0.55 Ti1 O3,8.00E-07,-6.096910013,0.53,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 V0.5 Si0.5 O4,1.20E-05,-4.920818754,0.53,,25,https://doi.org/10.1039/D2EE03499A
Li3.8 Al0.2 Si0.8 S4,2.38E-08,-7.623423043,0.53,,25,https://doi.org/10.1039/D2EE03499A
Li4.2 Al0.2 Si0.8 S4,2.40E-08,-7.619788758,0.53,,25,https://doi.org/10.1039/D2EE03499A
Li3.6 Zn0.2 Ge1 S4,5.90E-08,-7.229147988,0.539,,25,https://doi.org/10.1039/D2EE03499A
Li2.9 P1 N0.46 O3.3,3.30E-06,-5.48148606,0.54,,25,https://doi.org/10.1039/D2EE03499A
Li3.8 Zn0.1 Ge1 S4,9.95E-08,-7.002176919,0.545,,25,https://doi.org/10.1039/D2EE03499A
Li5 La3 Y0.1 Nb1.9 O12,1.44E-05,-4.841637508,0.55,,25,https://doi.org/10.1039/D2EE03499A
Li1.32 P0.68 O2.36,2.30E-07,-6.638272164,0.55,,25,https://doi.org/10.1039/D2EE03499A
Li1.32 P1 O3.16,2.30E-07,-6.638272164,0.55,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Si0.5 As0.5 O4,4.05E-06,-5.392544977,0.55,,25,https://doi.org/10.1039/D2EE03499A
Li2 H1 Cl1 O1,4.28E-08,-7.368556231,0.56,,25,https://doi.org/10.1039/D2EE03499A
Li3.3 P1 N0.22 O3.8,2.40E-06,-5.619788758,0.56,,25,https://doi.org/10.1039/D2EE03499A
Li1.26 P0.74 O2.48,1.30E-07,-6.886056648,0.56,,25,https://doi.org/10.1039/D2EE03499A
Li1.26 P1 O3.13,1.30E-07,-6.886056648,0.56,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Ge0.5 P0.5 O4,7.89E-06,-5.102922997,0.56,,25,https://doi.org/10.1039/D2EE03499A
Li3.1 P1 N0.16 O3.8,2.00E-06,-5.698970004,0.57,,25,https://doi.org/10.1039/D2EE03499A
Li3.2 P1 N1 O3,2.99E-06,-5.524328812,0.57,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 P0.68 O2.4,3.00E-07,-6.522878745,0.57,,25,https://doi.org/10.1039/D2EE03499A
Li1.4 P1 O3.2,3.00E-07,-6.522878745,0.57,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 Si0.5 P0.5 O4,4.27E-07,-6.369572125,0.57,,25,https://doi.org/10.1039/D2EE03499A
Li3.6 Si0.19 P0.82 O4.2,2.00E-07,-6.698970004,0.57,,25,https://doi.org/10.1039/D2EE03499A
Li2.38 In0.62 Br3.92,4.90E-06,-5.30980392,0.58,,25,https://doi.org/10.1039/D2EE03499A
Li3.4 P1 N0.9 O3.1,2.81E-06,-5.55129368,0.58,,25,https://doi.org/10.1039/D2EE03499A
Li0.42 Sm0.5 Ti1 O2.96,3.93E-10,-9.40560745,0.58,,25,https://doi.org/10.1039/D2EE03499A
Li3.5 P1 N0.8 O3.2,2.59E-06,-5.586700236,0.59,,25,https://doi.org/10.1039/D2EE03499A
