composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Li10 Ge1 P2 S12,0.012,-1.920818754,0.25,255749.cif,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn0.584 Ge0.416 P2 S12,0.00743,-2.129011186,0.285,255757.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.3 Ti1.7 Al0.3 P3 O12,0.00113,-2.946921557,0.23,257190.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 Al1 N2,5.00E-08,-7.301029996,0.45,257464.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ga1 Ge1 O4,1.00E-10,-10,1.12,257739.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Al0.5 Ga0.5 Ge1 O4,1.00E-10,-10,1.06,257740.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 Ge1 O4,1.00E-10,-10,0.97,257741.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Sc1 O2,1.00E-10,-10,1.047,257819.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.9 Zr0.1 Sc0.9 O2,1.00E-10,-10,0.912,257820.cif,25,https://doi.org/10.1039/D2EE03499A
Li7 Ge3 P1 S12,0.00011,-3.958607315,0.259,258187.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.5 La3 Hf1.5 Ta0.5 O12,0.0004,-3.397940009,0.4,258921.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.5 La3 Ta0.5 Sn1.5 O12,0.00019,-3.721246399,0.45,258922.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.3 La3 Sm0.15 Ta1.85 O12,7.11E-06,-5.148130399,,259165.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.5 La3 Sm0.25 Ta1.75 O12,5.17E-06,-5.286509457,,259166.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.7 La3 Sm0.35 Ta1.65 O12,2.15E-05,-4.66756154,,259167.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.9 La3 Sm0.45 Ta1.55 O12,1.18E-05,-4.928117993,,259168.cif,25,https://doi.org/10.1039/D2EE03499A
