,Unnamed: 0,composition,mp-id,target
1052,1052,C2F5,,1.0013884615384616
1054,1054,KP304S15,,1.4995
1055,1055,K(P27S)15,,1.5013
1060,1060,Ge7As6Se37,,2.5089
1064,1064,Ge7As14Se29,,2.58455
1067,1067,Ge27.5As12Se60.5,,2.4615
1068,1068,Ge25(As4Se21)3,,2.46245
1069,1069,Ge23.3As12Se64.7,,2.478
1070,1070,Ge21As12Se67,,2.487975
1071,1071,Ge17As12Se71,,2.50915
1072,1072,SF5,,1.7280000000000002
1073,1073,SF6,mp-8652.cif,1.8106666666666669
1074,1074,BaYb2F8,mp-1206981.cif,1.76
1076,1076,SnTe,SnTe_mp-1883.cif,4.4
1077,1077,CaGdBS,,1.6556
1081,1081,Ge7S12I,,2.09
1082,1082,Ge5S13I2,,2.01
1083,1083,Ge3S6I,,2.02
1085,1085,Ge31.7S58.3I10,,2.02
1086,1086,Ge32.33S57.67I10,,2.02
1089,1089,Ge5(S4I)3,,1.97
1090,1090,Ge30.83S54.17I15,,2.0
1091,1091,Ge7S10I3,,2.05
1095,1095,CaEuF2,,1.598
1096,1096,GeSe,mp-10759.cif,2.545
1097,1097,Er0.5Te1,,2.06762
1100,1100,Er2.5Te1,,2.08269
1101,1101,Er3.5Te1,,2.0919
1104,1104,Pr6O11,mp-559771.cif,3.715
1105,1105,NaSrP,mp-13275.cif,1.5468
1106,1106,BC404,,1.58
1107,1107,LaY,mp-1222752.cif,1.855875
1108,1108,Sm0.5Bi20B80,,1.76
1110,1110,Sm0.5Bi40B60,,2.02
1114,1114,Al1As0.2P0.76N0.04,,2.99
1115,1115,Al1As0.4P0.52N0.08,,3.033
1116,1116,Al1As0.6P0.28N0.12,,3.086
1117,1117,Al1As0.836N0.164,,3.162
1118,1118,C,mp-568410.cif,1.42
1119,1119,GeH4,mp-1181222.cif,2.472
1120,1120,S4555O,,1.455
1122,1122,Te4PbSe45,,2.424
1123,1123,Te2(PbSe15)3,,2.2995
1124,1124,Si1H0.12O1.94,,1.46
1126,1126,Si1O0.37,,1.78
1127,1127,Si1H0.3N1.29,,1.91
1129,1129,FePt,mp-2260.cif,1.5499999999999998
1130,1130,TiSi,mp-7092.cif,1.628
1131,1131,CeZr,,2.028
1134,1134,Zn0.25Cd0.75O1,,2.12
1136,1136,Fe2NiO4,mp-530214.cif,2.35
1137,1137,Zn(FeO2)2,mp-530392.cif,2.4
1138,1138,K4CdCl6,mp-23392.cif,1.653
1141,1141,LiLa(MoO4)2,mp-744260.cif,2.05
1142,1142,H10(C3O)3,,1.505
1143,1143,ZnTeSe,,2.33
1144,1144,B9Pb5,,2.12
1145,1145,B4Pb3,,2.155
1146,1146,BPb,,2.18
1147,1147,B3Pb4,,2.185
1148,1148,B5Pb2,,1.91
1149,1149,Y2Lu18SiO3,,1.81
1151,1151,NaSi,409953.cif,1.433
1153,1153,Na0.2Er1Si1,,1.444
1154,1154,Na0.3Er1Si1,,1.45
1155,1155,Na0.4Er1Si1,,1.452
1159,1159,Na0.8Er1Si1,,1.468
1160,1160,Na0.9Er1Si1,,1.471
1162,1162,Yb0.8Mg1,,2.2795
1166,1166,C5F12,,1.1916
1167,1167,H14C6O,,1.4161
1168,1168,LaCeBr3,,1.9
1170,1170,Sb2S3,mp-2809.cif,3.784
1172,1172,K5Nd(MoO4)4,,1.512
1174,1174,ZnCu2SiS4,mp-977414.cif,2.36
1176,1176,Cd1Te0.75S0.25,,3.14
1178,1178,Cd1Te0.25S0.75,,3.2775000000000003
1179,1179,Bi2PbO4,,1.653
1180,1180,H5C6Br,,1.5282
1181,1181,SnSe,50557.cif,4.59
1183,1183,SmPb4,,1.649
1187,1187,HoPb2,,1.649
1188,1188,HoPb4,,1.65
1189,1189,HoPb6,,1.649
1194,1194,Ca1Tb0.5Gd1B1S1,,1.6535
1196,1196,BP90,,1.404
1197,1197,ZnMoO4,mp-16882.cif,1.915
1198,1198,Ba3Tb(PO4)3,,1.70375
1199,1199,NaAlSi3O8,mp-1220855.cif,1.5095
1203,1203,Zn0.85Ni0.15Se1,,1.74
1206,1206,LaBr3,mp-23263.cif,1.9
1207,1207,CeBr3,mp-569850.cif,2.09
1209,1209,WC,mp-1008630.cif,4.321276595744681
1210,1210,Zn0.025Cu2Sn0.975Se3,,1.48
1211,1211,Zn0.05Cu2Sn0.95Se3,,2.785
1212,1212,Zn0.075Cu2Sn0.925Se3,,2.28
1215,1215,Cd1Se0.36S0.64,,2.66
1216,1216,FeI2,mp-571122.cif,4.07
1217,1217,MnI2,mp-28013.cif,4.4
1218,1218,CoI2,mp-569610.cif,4.5
1219,1219,InCl3,mp-862983.cif,1.1
1220,1220,Si0.75Ge0.25,,3.6000000000000005
1221,1221,NO3,mp-1204579.cif,4.55
1222,1222,PO4,mp-1179817.cif,4.65
1223,1223,SmN,mp-749.cif,3.16
1225,1225,K4Ba,,1.5688
1226,1226,K10B,,1.4979
1228,1228,SiO2F,,1.46
1229,1229,TbC,,4.660000000000001
1230,1230,Ge8(SbS5)7,,2.31
1233,1233,Ge8(SbSe5)7,,2.68
1234,1234,Ge13Sb7Se80,,2.64
1237,1237,Ge35Sb7Se58,,2.58
1239,1239,FeO,mp-1283030.cif,2.02015652173913
1241,1241,YAl3(BO3)4,mp-6062.cif,1.7362
1244,1244,BS10,,5.8
1245,1245,ClO,mp-1213922.cif,2.31
1249,1249,CsCdCl3,mp-619015.cif,1.66
1251,1251,Gd2SO2,mp-4805.cif,2.0
1254,1254,Ge5Bi(SbS6)2,,2.46
1255,1255,Ge5Bi2SbS12,,2.776666666666667
1256,1256,Ge5(BiS4)3,,3.22
1259,1259,Al6Ge2O13,,1.72
1260,1260,HeNe,,1.588
1263,1263,MgGeP2,182369.cif,3.674
1264,1264,La2S3,mp-7475.cif,2.164
1266,1266,TiSiO2,,1.79
1270,1270,Ge2HN3,,2.19
